AGE,SMIN1,SMAX1,GLMIN,GLMAX,CRIMPTS,TOTCHPTS,XCRHISSR,NUMDEPEN,NOCOUNTS,DRUGMIN,MONSEX,WEAPON,NEWEDUC,ZONE,DISTRICT,DISPOSIT,CITIZEN,FISCAL_YEAR,OFFGUIDE,SENTTOT_actual,SENTTOT_predicted,residual,NEWRACE,POC
31.0,60.0,240.0,87.0,108.0,1.0,1.0,1.0,0.0,1,0,0.0,0,5.0,D,47,1,1.0,2020,7,96.0,75.055326983851,20.944673016148997,1.0,False
28.0,0.0,240.0,63.0,78.0,0.0,0.0,1.0,1.0,1,0,0.0,0,5.0,D,76,1,1.0,2024,7,72.0,49.7990034331635,22.2009965668365,1.0,False
46.0,0.0,60.0,10.0,16.0,0.0,0.0,1.0,2.0,1,0,0.0,0,3.0,C,29,1,1.0,2020,8,0.03,6.137576517836694,-6.107576517836693,2.0,True
47.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,1.0,1,0,0.0,0,5.0,D,65,1,1.0,2022,7,72.0,102.66926346679816,-30.669263466798157,1.0,False
37.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,2,0,0.0,0,3.0,D,41,1,1.0,2023,7,92.0,121.03542403623202,-29.035424036232016,3.0,True
57.0,0.0,240.0,97.0,121.0,0.0,0.0,1.0,1.0,2,0,0.0,0,6.0,D,20,1,1.0,2023,7,29.03,59.193007499604334,-30.163007499604333,1.0,False
59.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,7,1,1.0,2022,7,72.0,80.75777803282502,-8.757778032825016,1.0,False
32.0,60.0,240.0,210.0,240.0,0.0,0.0,1.0,11.0,1,0,0.0,0,5.0,D,90,1,1.0,2021,7,80.0,112.01812366043819,-32.01812366043819,1.0,False
47.0,60.0,240.0,168.0,210.0,6.0,8.0,4.0,0.0,1,0,0.0,0,5.0,D,39,1,1.0,2021,7,168.0,180.39505443741348,-12.395054437413478,1.0,False
65.0,60.0,240.0,121.0,151.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,56,1,1.0,2022,7,140.0,91.79444368685266,48.20555631314734,1.0,False
33.0,60.0,240.0,240.0,240.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,19,1,1.0,2023,7,168.0,163.8316585010307,4.168341498969312,1.0,False
44.0,0.0,240.0,135.0,168.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,42,1,1.0,2021,7,70.0,117.02380739482588,-47.02380739482588,3.0,True
73.0,120.0,240.0,188.0,235.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,30,3,1.0,2021,7,235.0,162.87119480641564,72.12880519358436,1.0,False
